TIME		PLN-0														OBJ-0			
TICK:	DUR:	X:	Y:	ALT:	SPD:	ACCEL:	VSPD:	THRTL:	HDG:	VHDG:	CR:	ROLL:	VCR:	PTS:	DMG:	X:	Y:	ALT:	
0	0	500.0	500.0	2000	250.0	0.0	0.0	50.0	0.0	0.0	0.00	0.00	0.00	0	0.0	-1000	-1000	2478	
270	15	500.0	488.8	2002	250.0	0.0	147.6	50.0	0.0	36.2	0.00	0.00	3.62	0	0.0	324	65	2478	
560	16	499.6	477.7	2012	346.2	20.9	222.5	100.0	-7.5	40.0	-0.63	-3.03	4.00	0	0.0	324	65	2478	
850	16	495.6	463.2	2024	420.8	-0.4	190.2	83.2	-22.4	26.9	-0.42	-2.02	2.66	0	0.0	324	65	2478	
1145	16	487.5	445.5	2026	366.6	-11.1	5.3	51.0	-25.2	0.8	-0.01	-0.06	0.08	0	0.0	324	65	2478	
1435	14	480.2	430.0	2027	323.0	-6.7	0.0	50.0	-25.2	0.0	0.00	0.00	0.00	0	0.0	324	65	2478	
1725	16	472.7	414.1	2027	393.7	15.2	47.9	100.0	-25.2	7.0	0.00	0.00	0.70	0	0.0	324	65	2478	
2014	16	465.0	397.7	2037	449.3	7.7	288.8	100.0	-25.2	40.0	0.00	0.00	4.00	0	0.0	324	65	2478	
2304	16	457.4	381.6	2052	476.6	3.7	306.3	100.0	-25.2	40.0	0.00	0.00	4.00	0	0.0	324	65	2478	
2594	16	449.5	364.9	2067	489.3	1.7	314.5	100.0	-25.2	40.0	0.00	0.00	4.00	0	0.0	324	65	2478	
2881	16	441.5	347.8	2083	495.2	0.8	318.3	100.0	-25.2	40.0	0.00	0.00	4.00	0	0.0	324	65	2478	
3172	13	433.4	330.6	2099	497.8	0.3	320.0	100.0	-25.2	40.0	0.00	0.00	4.00	0	0.0	324	65	2478	
3465	15	425.2	313.3	2115	499.0	0.2	320.8	100.0	-25.2	40.0	0.00	0.00	4.00	0	0.0	324	65	2478	
3756	16	417.1	296.0	2131	499.6	0.1	321.1	100.0	-25.2	40.0	0.00	0.00	4.00	0	0.0	324	65	2478	
4046	17	409.0	278.7	2147	499.8	0.0	321.3	100.0	-25.2	40.0	0.00	0.00	4.00	0	0.0	324	65	2478	
4335	15	400.8	261.4	2163	499.9	0.0	321.3	100.0	-25.2	40.0	0.00	0.00	4.00	0	0.0	324	65	2478	
4627	15	392.6	244.1	2180	500.0	0.0	321.4	100.0	-25.2	40.0	0.00	0.00	4.00	0	0.0	324	65	2478	
4914	16	384.5	226.7	2196	500.0	0.0	321.4	100.0	-25.2	40.0	0.00	0.00	4.00	0	0.0	324	65	2478	
5204	16	376.3	209.4	2212	500.0	0.0	321.4	100.0	-25.2	40.0	0.00	0.00	4.00	0	0.0	324	65	2478	
5494	16	368.2	192.1	2228	500.0	0.0	321.4	100.0	-25.2	40.0	0.00	0.00	4.00	0	0.0	324	65	2478	
5784	14	360.0	174.7	2244	500.0	0.0	321.4	100.0	-25.2	40.0	0.00	0.00	4.00	0	0.0	324	65	2478	
